date,overall_sales,wholesale_sales,retail_sales,motor_sales,overall_index,wholesale_index,retail_index,motor_index,overall_index_sa,wholesale_index_sa,retail_index_sa,motor_index_sa
2021-09-01,108113688719,52983625889,44334356861,10795707018,123.268205616009,128.061678805562,132.287638414466,85.6265680670127,121.521,121.954,133.269,84.442
2021-10-01,116233532454,55781240658,46285280981,14167010815,131.99762005375,131.057355126743,138.534643580713,116.586330993195,127.568,124.429,137.86,107.669
2021-11-01,117559833990,56338470518,47838374684,13382988789,132.830425926562,130.550642559171,143.435778011797,110.177022923827,129.528,128.045,139.519,104.573
2021-12-01,120635343306,57584104334,48474223386,14577015586,136.22943724813,132.326807056063,145.9812,121.267908555367,129.719,128.488,137.733,110.835
2022-01-01,120184634742,58580565336,48969696503,12634372903,135.6276218911766,134.09739688540714,147.1985332479498,107.6564995843367,131.330488313557,129.50514446275773,139.9930889592188,107.13475333559236
2022-02-01,117089911116,55850439624,48783165530,12456305963,131.50277906256403,126.12864825360592,146.23555632018,104.92143775885,137.53938256326578,131.71604278870268,148.6753182933743,106.83920142441832
2022-03-01,123773352955,57240525634,49851164010,16681663311,136.87402896015556,127.84146505965155,148.13662939921554,132.371655676948,138.142174118564,130.48509304473794,150.7859383357751,125.39944645410004
2022-04-01,127983598965,59022649361,53558873783,15402075821,140.6377251303386,130.6126592962192,157.27691139931116,121.12006494440742,149.03431864266642,137.21546759698617,171.22489102196005,138.8450202265257
2022-05-01,129503813302,59555433571,56018586753,13929792978,141.80859945503005,130.40612274510772,164.0469598565491,108.3832327181106,148.00868319402787,133.61146171156824,178.93819657556787,121.77617662312151
2022-06-01,132794976347,60514574815,56153864875,16126536658,144.28417218102035,131.97710978089034,164.85602800453302,121.57912859867623,144.58056233380466,136.4584037603813,161.4178282625409,128.37667345829286
2022-07-01,130393180570,59695882564,56582222524,14115075482,142.18889173212892,130.10753405972056,165.7676955578408,105.840687067026,142.2088009642639,136.34247546262645,161.980589378179,100.4924774187976
2022-08-01,133625727412,60131275348,56980360963,16514091101,145.45228574695938,132.28586997269792,166.53922166276772,125.139936288248,146.5410860160587,129.1601932949599,164.95074597899006,123.42677268340236
2022-09-01,134015120252,60038221349,57653484778,16323414125,146.04777403940736,132.4205076273049,168.13506573043807,123.407000751987,143.6728616365551,126.06194321170643,168.71206097898622,122.86638864196236
2022-10-01,133596162629,59867783081,58306678937,15421700612,145.653329146937,132.14528983781244,169.3646317382948,117.981753755416,140.27247693183193,125.31677857335058,168.24412586006676,112.32399416911754
2022-11-01,133908018391,59487038897,58740490939,15680488555,145.6822503496598,131.3985543997003,169.65680262977375,119.311457040296,141.76113729215868,128.56498219218454,164.8081469466047,113.60723763846848
